ecrivains;lecteurs;run;real
1;1;1;.00698969100000000000
1;1;2;.00689498500000000000
1;1;3;.00628307600000000000
1;1;4;.00820990200000000000
1;1;5;.00865004100000000000
2;2;1;.01157131900000000000
2;2;2;.01239885000000000000
2;2;3;.01145419100000000000
2;2;4;.01062659100000000000
2;2;5;.01130196700000000000
4;4;1;.00940358400000000000
4;4;2;.01076276300000000000
4;4;3;.00822019200000000000
4;4;4;.00988284700000000000
4;4;5;.00886127500000000000
8;8;1;.01105444700000000000
8;8;2;.01024678300000000000
8;8;3;.01057737900000000000
8;8;4;.01149072900000000000
8;8;5;.01085588700000000000
16;16;1;.01355472200000000000
16;16;2;.01363341700000000000
16;16;3;.01407243500000000000
16;16;4;.01305812700000000000
16;16;5;.01368780800000000000
