threads;run;real;user;sys
2;1;0.05;0.07;0.03
2;2;0.05;0.05;0.04
2;3;0.05;0.06;0.03
2;4;0.05;0.06;0.04
2;5;0.05;0.06;0.04
4;1;0.08;0.09;0.09
4;2;0.07;0.10;0.06
4;3;0.08;0.10;0.08
4;4;0.07;0.07;0.08
4;5;0.09;0.11;0.08
8;1;0.16;0.17;0.20
8;2;0.15;0.20;0.15
8;3;0.16;0.20;0.19
8;4;0.16;0.20;0.19
8;5;0.16;0.19;0.19
16;1;0.28;0.37;0.35
16;2;0.27;0.34;0.37
16;3;0.27;0.36;0.34
16;4;0.28;0.35;0.36
16;5;0.29;0.36;0.38
32;1;0.54;0.70;0.73
32;2;0.55;0.69;0.76
32;3;0.56;0.72;0.74
32;4;0.56;0.68;0.78
32;5;0.58;0.72;0.79
